mean radius,mean texture,id
10.05,17.53,x1
10.8,21.98,x2
16.14,14.86,x3
12.18,17.84,x4
12.25,22.44,x5
13.28,13.72,x6
11.74,14.02,x7
12.67,17.3,x8
14.22,23.12,x9
11.27,12.96,x10
20.2,26.83,x11
11.62,18.18,x12
14.34,13.47,x13
11.29,13.04,x14
10.26,16.58,x15
10.86,21.48,x16
18.01,20.56,x17
10.08,15.11,x18
13.2,15.82,x19
13.11,22.54,x20
11.3,18.19,x21
11.54,10.72,x22
14.74,25.42,x23
15.05,19.07,x24
23.21,26.97,x25
10.51,20.19,x26
12.34,12.27,x27
13.53,10.94,x28
19.59,18.15,x29
11.85,17.46,x30
11.22,19.86,x31
20.13,28.25,x32
13.59,17.84,x33
16.69,20.2,x34
12.06,18.9,x35
13.87,16.21,x36
12.56,19.07,x37
14.26,19.65,x38
9.029,17.33,x39
13.46,18.75,x40
9.876,17.27,x41
14.78,23.94,x42
14.04,15.98,x43
13.61,24.69,x44
12.72,17.67,x45
15.49,19.97,x46
19.68,21.68,x47
12.3,19.02,x48
10.97,17.2,x49
17.27,25.42,x50
11.43,15.39,x51
17.05,19.08,x52
13.71,20.83,x53
17.99,20.66,x54
13.71,18.68,x55
13.3,21.57,x56
9.333,21.94,x57
11.49,14.59,x58
10.49,18.61,x59
12.25,17.94,x60
18.31,18.58,x61
6.981,13.43,x62
9.787,19.94,x63
13.08,15.71,x64
11.15,13.08,x65
15.1,22.02,x66
18.63,25.11,x67
11.67,20.02,x68
13.49,22.3,x69
13.61,24.98,x70
12.99,14.23,x71
10.51,23.09,x72
14.76,14.74,x73
12.54,16.32,x74
19.21,18.57,x75
10.75,14.97,x76
10.17,14.88,x77
18.25,19.98,x78
13,21.82,x79
10.88,15.62,x80
10.25,16.18,x81
19.73,19.82,x82
23.29,26.67,x83
13.2,17.43,x84
13.64,15.6,x85
14.99,25.2,x86
12.87,19.54,x87
10.26,12.22,x88
17.35,23.06,x89
23.51,24.27,x90
19.4,18.18,x91
11.33,14.16,x92
12.21,18.02,x93
9.676,13.14,x94
20.59,21.24,x95
13.37,16.39,x96
13.15,15.34,x97
12.18,14.08,x98
8.618,11.79,x99
11.25,14.78,x100
23.09,19.83,x101
10.96,17.62,x102
20.92,25.09,x103
14.53,13.98,x104
17.29,22.13,x105
13.66,15.15,x106
12.83,22.33,x107
11.52,18.75,x108
13.43,19.63,x109
12.62,17.15,x110
13.75,23.77,x111
12.06,12.74,x112
11.89,21.17,x113
16.13,17.88,x114
11.2,29.37,x115
19.81,22.15,x116
16.3,15.7,x117
12.86,13.32,x118
13.64,16.34,x119
19.53,32.47,x120
10.82,24.21,x121
11.94,18.24,x122
12.31,16.52,x123
14.58,21.53,x124
11.08,14.71,x125
13.27,14.76,x126
16.78,18.8,x127
20.29,14.34,x128
12.27,17.92,x129
21.09,26.57,x130
10.48,19.86,x131
11.08,18.83,x132
10.03,21.28,x133
16.25,19.51,x134
12.45,15.7,x135
16.11,18.05,x136
16.26,21.88,x137
12.23,19.56,x138
12.77,22.47,x139
12.58,18.4,x140
24.25,20.2,x141
15.73,11.28,x142
15.34,14.26,x143
13.65,13.16,x144
19.89,20.26,x145
11.41,10.82,x146
13.34,15.86,x147
19.44,18.82,x148
13.17,18.22,x149
12.88,28.92,x150
9.683,19.34,x151
11.75,20.18,x152
9.423,27.88,x153
14.22,27.85,x154
12.89,15.7,x155
12.49,16.85,x156
12.91,16.33,x157
12.77,21.41,x158
8.95,15.76,x159
13.9,16.62,x160
11.13,16.62,x161
23.27,22.04,x162
11.64,18.33,x163
12.94,16.17,x164
9.173,13.86,x165
13.11,15.56,x166
12.76,13.37,x167
10.29,27.61,x168
13.9,19.24,x169
11.71,15.45,x170
13.45,18.3,x171
14.06,17.18,x172
21.61,22.28,x173
11.04,14.93,x174
19.18,22.49,x175
11.9,14.65,x176
13,20.78,x177
13.48,20.82,x178
9.295,13.9,x179
15.75,19.22,x180
17.3,17.08,x181
9.668,18.1,x182
13.82,24.49,x183
19.69,21.25,x184
13.56,13.9,x185
13.68,16.33,x186
11.8,16.58,x187
11.37,18.89,x188
12.42,15.04,x189
11.06,14.96,x190
18.82,21.97,x191
8.726,15.83,x192
14.61,15.69,x193
11.8,17.26,x194
9.904,18.06,x195
17.85,13.23,x196
17.47,24.68,x197
20.44,21.78,x198
7.691,25.44,x199
12.22,20.04,x200
10.48,14.98,x201
11.71,16.67,x202
18.03,16.85,x203
19.45,19.33,x204
12.76,18.84,x205
12.21,14.09,x206
13.16,20.54,x207
12,28.23,x208
13.96,17.05,x209
11.22,33.81,x210
15.71,13.93,x211
19.27,26.47,x212
12.36,21.8,x213
14.41,19.73,x214
13.17,21.81,x215
8.598,20.98,x216
14.45,20.22,x217
16.17,16.07,x218
13.62,23.23,x219
11.75,17.56,x220
9.742,19.12,x221
19.8,21.56,x222
20.09,23.86,x223
11.76,18.14,x224
13.8,15.79,x225
13.77,13.27,x226
16.74,21.59,x227
12.46,12.83,x228
17.57,15.05,x229
17.08,27.15,x230
13.85,19.6,x231
11.99,24.89,x232
13.05,13.84,x233
14.47,24.99,x234
10.2,17.48,x235
18.61,20.25,x236
14.4,26.99,x237
10.57,20.22,x238
17.68,20.74,x239
12.77,29.43,x240
12.83,15.73,x241
14.95,17.57,x242
28.11,18.47,x243
10.49,19.29,x244
14.8,17.66,x245
10.57,18.32,x246
21.1,20.52,x247
13.86,16.93,x248
12.65,18.17,x249
12.3,15.9,x250
14.19,23.81,x251
9.847,15.68,x252
12.47,18.6,x253
9.567,15.91,x254
15.53,33.56,x255
11.31,19.04,x256
16.65,21.38,x257
11.89,18.35,x258
19.53,18.9,x259
15.75,20.25,x260
19.79,25.12,x261
20.47,20.67,x262
12.63,20.76,x263
10.8,9.71,x264
13.59,21.84,x265
11.06,17.12,x266
13.44,21.58,x267
17.93,24.48,x268
13.38,30.72,x269
12.86,18,x270
12.96,18.29,x271
12.34,14.95,x272
12.03,17.93,x273
15.85,23.95,x274
12.89,13.12,x275
14.11,12.88,x276
18.66,17.12,x277
11.5,18.45,x278
12.62,23.97,x279
18.49,17.52,x280
19.19,15.94,x281
19.1,26.29,x282
14.87,16.67,x283
13.69,16.07,x284
12.85,21.37,x285
17.14,16.4,x286
9.777,16.99,x287
13.74,17.91,x288
9.731,15.34,x289
14.68,20.13,x290
13.98,19.62,x291
12.98,19.35,x292
11.34,21.26,x293
9.667,18.49,x294
11.87,21.54,x295
11.28,13.39,x296
20.48,21.46,x297
20.31,27.06,x298
25.73,17.46,x299
11.63,29.29,x300
18.22,18.87,x301
20.34,21.51,x302
14.58,13.66,x303
10.65,25.22,x304
11.36,17.57,x305
11.61,16.02,x306
12.47,17.31,x307
13.54,14.36,x308
16.27,20.71,x309
10.91,12.35,x310
13.7,17.64,x311
10.71,20.39,x312
16.5,18.29,x313
10.44,15.46,x314
14.87,20.21,x315
11.42,20.38,x316
17.75,28.03,x317
13.85,17.21,x318
19.16,26.6,x319
11.94,20.76,x320
18.05,16.15,x321
15.28,22.41,x322
15.19,13.21,x323
12.45,16.41,x324
10.16,19.59,x325
11.89,17.36,x326
12.72,13.78,x327
20.55,20.86,x328
15.7,20.31,x329
17.02,23.98,x330
11.45,20.97,x331
9,14.4,x332
15.66,23.2,x333
15.78,17.89,x334
12.54,18.07,x335
14.2,20.53,x336
14.48,21.46,x337
10.6,18.95,x338
14.25,21.72,x339
12.34,26.86,x340
13.05,19.31,x341
10.95,21.35,x342
14.29,16.82,x343
11.04,16.83,x344
11.76,21.6,x345
15.27,12.91,x346
14.81,14.7,x347
11.54,14.44,x348
11.26,19.83,x349
24.63,21.6,x350
19.59,25,x351
14.5,10.89,x352
10.18,17.53,x353
11.16,21.41,x354
14.25,22.15,x355
7.76,24.54,x356
13.46,28.21,x357
12.19,13.29,x358
11.71,17.19,x359
21.16,23.04,x360
12.16,18.03,x361
15.46,23.95,x362
13.28,20.28,x363
16.35,23.29,x364
12.1,17.72,x365
17.99,10.38,x366
12.39,17.48,x367
17.54,19.32,x368
10.94,18.59,x369
21.71,17.25,x370
27.42,26.27,x371
12.07,13.44,x372
11.6,12.84,x373
13.88,16.16,x374
11.95,14.96,x375
11.46,18.16,x376
12.7,12.17,x377
12.95,16.02,x378
13.01,22.22,x379
22.01,21.9,x380
19.55,28.77,x381
15.06,19.83,x382
18.08,21.84,x383
20.26,23.03,x384
14.59,22.68,x385
12.34,22.22,x386
14.97,16.95,x387
12.78,16.49,x388
11.6,24.49,x389
12.05,14.63,x390
9.606,16.84,x391
20.64,17.35,x392
12.8,17.46,x393
17.01,20.26,x394
13.85,15.18,x395
13.94,13.17,x396
15,15.51,x397
14.44,15.18,x398
12.9,15.92,x399
27.22,21.87,x400
15.46,19.48,x401
13.17,18.66,x402
12.2,15.21,x403
13.81,23.75,x404
12,15.65,x405
11.06,14.83,x406
15.37,22.76,x407
25.22,24.91,x408
14.9,22.53,x409
17.95,20.01,x410
14.96,19.1,x411
14.71,21.59,x412
20.16,19.66,x413
15.32,17.27,x414
13.78,15.79,x415
19.07,24.81,x416
11.27,15.5,x417
17.06,21,x418
9.742,15.67,x419
11.68,16.17,x420
18.22,18.7,x421
14.27,22.55,x422
15.1,16.39,x423
15.3,25.27,x424
11.41,14.92,x425
9.755,28.2,x426
11.74,14.69,x427
8.219,20.7,x428
19.4,23.5,x429
13.21,28.06,x430
13.87,20.7,x431
20.73,31.12,x432
11.26,19.96,x433
13.66,19.13,x434
14.95,18.77,x435
16.46,20.11,x436
14.42,19.77,x437
14.53,19.34,x438
12.4,17.68,x439
11.93,21.53,x440
17.2,24.52,x441
11.69,24.44,x442
10.66,15.15,x443
19.02,24.59,x444
11.13,22.44,x445
14.64,16.85,x446
8.597,18.6,x447
13.51,18.89,x448
14.92,14.93,x449
18.94,21.31,x450
18.81,19.98,x451
12.46,24.04,x452
9.436,18.32,x453
9.72,18.22,x454
11.51,23.93,x455
